Biomes                Surface               placesOfInterest      Secret                
Mines                 no                    4                     no                    
CoalPits              no                    2                     no                    
SnowyDepths           no                    3                     no                    
HiisiBase             no                    3                     no                    
UndergroundJungle     no                    2                     no                    
Vault                 no                    1                     no                    
ArtTemple             no                    1                     no                    
Laboratory            no                    1                     no                    
Forest                yes                   4                     no                    
Desert                yes                   7                     no                    
SnowyWasteland        yes                   3                     no                    
Lake                  yes                   2                     no                    
Cloudscape            yes                   2                     no                    
HolyMountain          no                    0                     no                    
ForgottenCave         no                    1                     yes                   
LukkiLair             no                    0                     yes                   
OvergrownCavern       no                    1                     yes                   
PowerPlant            no                    1                     yes                   
TheTower              no                    2                     yes                   
TheWork               no                    1                     no                    
WorkHell              no                    1                     yes                   
WorkSky               yes                   1                     yes                   
Sky                   yes                   2                     yes                   
Gold                  yes                   0                     yes                   
Biomes                Surface               placesOfInterest      Secret                
